generated_at,report_json,question_md,question_id,question,provider,model,strategy,phase,temperature,prompt_tokens,completion_tokens,total_tokens,cached_prompt_tokens,input_price_per_1m,input_cache_hit_per_1m,input_cache_miss_per_1m,output_price_per_1m,currency,pricing_url,billing_cache_mode,cost,row_type
2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Direct,single,0.1,5636,1,5637,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015785000000000003,event
2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,CoT,single,0.1,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Self-Consistency,sample_4,1.0,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Self-Consistency,sample_5,1.0,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Self-Consistency,sample_2,1.0,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Self-Consistency,sample_1,1.0,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,Self-Consistency,sample_3,1.0,5643,1,5644,5632,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0015804600000000001,event
2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,ToT,plan,0.1,5265,390,5655,5248,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0016380000000000001,event
2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,ToT,candidate_3,1.0,6042,1,6043,5696,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0016921800000000002,event
2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,ToT,candidate_1,1.0,6042,1,6043,5696,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0016921800000000002,event
2026-03-31T13:34:28.334765,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\3三种提问方式\三提问方式结果\三提问方式报告无原始记忆结果报告1\评估报告_北京天安门_qwen_context_report.txt.json,D:\a_project_study\AI_exploer_aoto_onlybeijing\AI_exploer_aotoV10\AI_exploer_aoto\txt_statistics\大模型空间认知项目数据\8问题集\北京天安门_AI探索评估-22题完整问题集.md,1,东方广场W1座相对于北京东方广场在哪个方向？,deepseek,deepseek-chat,ToT,candidate_2,1.0,6042,1,6043,5696,0.28,0.028,0.28,0.42,USD,https://api-docs.deepseek.com/quick_start/pricing,no_cache,0.0016921800000000002,event
