文件名,AI Thought次数
评估报告_上海外滩_claude_report.txt.json,21
评估报告_上海外滩_deepseek_report.txt.json,25
评估报告_上海外滩_gemini_report.txt.json,30
评估报告_上海外滩_openai_report.txt.json,18
评估报告_上海外滩_qwen_report.txt.json,30
评估报告_伦敦大本钟_claude_report.txt.json,490
评估报告_伦敦大本钟_deepseek_report.txt.json,45
评估报告_伦敦大本钟_gemini_report.txt.json,45
评估报告_伦敦大本钟_openai_report.txt.json,32
评估报告_伦敦大本钟_qwen_report.txt.json,45
评估报告_北京天安门_claude_report.txt.json,49
评估报告_北京天安门_deepseek_report.txt.json,60
评估报告_北京天安门_gemini_report.txt.json,60
评估报告_北京天安门_openai_report.txt.json,46
评估报告_北京天安门_qwen_report.txt.json,60
评估报告_多伦多CN塔_claude_report.txt.json,527
评估报告_多伦多CN塔_deepseek_report.txt.json,405
评估报告_多伦多CN塔_gemini_report.txt.json,315
评估报告_多伦多CN塔_openai_report.txt.json,833
评估报告_多伦多CN塔_qwen_report.txt.json,450
评估报告_巴黎埃菲尔铁塔_claude_report.txt.json,40
评估报告_巴黎埃菲尔铁塔_deepseek_report.txt.json,45
评估报告_巴黎埃菲尔铁塔_gemini_report.txt.json,45
评估报告_巴黎埃菲尔铁塔_openai_report.txt.json,30
评估报告_巴黎埃菲尔铁塔_qwen_report.txt.json,45
评估报告_广州塔_claude_report.txt.json,15
评估报告_广州塔_deepseek_report.txt.json,15
评估报告_广州塔_gemini_report.txt.json,15
评估报告_广州塔_openai_report.txt.json,16
评估报告_广州塔_qwen_report.txt.json,15
评估报告_旧金山联合广场_claude_report.txt.json,42
评估报告_旧金山联合广场_deepseek_report.txt.json,45
评估报告_旧金山联合广场_gemini_report.txt.json,45
评估报告_旧金山联合广场_openai_report.txt.json,30
评估报告_旧金山联合广场_qwen_report.txt.json,24
评估报告_柏林勃兰登堡门_claude_report.txt.json,35
评估报告_柏林勃兰登堡门_deepseek_report.txt.json,45
评估报告_柏林勃兰登堡门_gemini_report.txt.json,45
评估报告_柏林勃兰登堡门_openai_report.txt.json,30
评估报告_柏林勃兰登堡门_qwen_report.txt.json,45
评估报告_武汉黄鹤楼_claude_report.txt.json,57
评估报告_武汉黄鹤楼_deepseek_report.txt.json,60
评估报告_武汉黄鹤楼_gemini_report.txt.json,75
评估报告_武汉黄鹤楼_openai_report.txt.json,41
评估报告_武汉黄鹤楼_qwen_report.txt.json,30
评估报告_洛杉矶好莱坞_claude_report.txt.json,36
评估报告_洛杉矶好莱坞_deepseek_report.txt.json,45
评估报告_洛杉矶好莱坞_gemini_report.txt.json,45
评估报告_洛杉矶好莱坞_openai_report.txt.json,32
评估报告_洛杉矶好莱坞_qwen_report.txt.json,30
评估报告_纽约时代广场_claude_report.txt.json,37
评估报告_纽约时代广场_deepseek_report.txt.json,45
评估报告_纽约时代广场_gemini_report.txt.json,45
评估报告_纽约时代广场_openai_report.txt.json,35
评估报告_纽约时代广场_qwen_report.txt.json,45
评估报告_维也纳美泉宫_claude_report.txt.json,86
评估报告_维也纳美泉宫_deepseek_report.txt.json,90
评估报告_维也纳美泉宫_gemini_report.txt.json,75
评估报告_维也纳美泉宫_openai_report.txt.json,59
评估报告_维也纳美泉宫_qwen_report.txt.json,452
评估报告_罗马斗兽场_claude_report.txt.json,32
评估报告_罗马斗兽场_deepseek_report.txt.json,45
评估报告_罗马斗兽场_gemini_report.txt.json,45
评估报告_罗马斗兽场_openai_report.txt.json,32
评估报告_罗马斗兽场_qwen_report.txt.json,30
评估报告_芝加哥千禧公园_claude_report.txt.json,33
评估报告_芝加哥千禧公园_deepseek_report.txt.json,45
评估报告_芝加哥千禧公园_gemini_report.txt.json,45
评估报告_芝加哥千禧公园_openai_report.txt.json,32
评估报告_芝加哥千禧公园_qwen_report.txt.json,44
评估报告_长沙五一广场_claude_report.txt.json,29
评估报告_长沙五一广场_deepseek_report.txt.json,27
评估报告_长沙五一广场_gemini_report.txt.json,30
评估报告_长沙五一广场_openai_report.txt.json,24
评估报告_长沙五一广场_qwen_report.txt.json,15
