Region,Model,Memory Mode,Strategy,Total Score,Accuracy,Completed At,重选起点次数,Type_定位与定向,Type_空间距离估算,Type_邻近关系判断,Type_POI密度识别,Type_路径规划
上海外滩,deepseek,context,Direct,14,58.33%,2026-03-21T23:57:14.515409,0,62.50%,25.00%,100.00%,25.00%,75.00%
伦敦大本钟,deepseek,context,Direct,14,58.33%,2026-03-22T00:01:18.337092,0,37.50%,0.00%,75.00%,100.00%,100.00%
北京天安门,deepseek,context,Direct,16,66.67%,2026-03-22T00:06:54.700256,0,50.00%,25.00%,100.00%,75.00%,100.00%
多伦多CN塔,deepseek,context,Direct,16,66.67%,2026-03-22T00:11:51.782388,0,62.50%,75.00%,75.00%,50.00%,75.00%
巴黎埃菲尔铁塔,deepseek,context,Direct,15,62.50%,2026-03-22T00:16:24.780953,0,50.00%,50.00%,100.00%,50.00%,75.00%
广州塔,deepseek,context,Direct,15,62.50%,2026-03-22T00:18:38.095086,0,75.00%,25.00%,100.00%,0.00%,100.00%
旧金山联合广场,deepseek,context,Direct,11,45.83%,2026-03-22T00:21:50.670497,0,12.50%,25.00%,100.00%,50.00%,75.00%
柏林勃兰登堡门,deepseek,context,Direct,13,54.17%,2026-03-22T00:25:22.711429,0,25.00%,75.00%,75.00%,25.00%,100.00%
武汉黄鹤楼,deepseek,context,Direct,10,41.67%,2026-03-22T00:29:33.886845,0,37.50%,25.00%,75.00%,25.00%,50.00%
洛杉矶好莱坞,deepseek,context,Direct,14,58.33%,2026-03-22T00:33:45.964405,0,50.00%,50.00%,75.00%,25.00%,100.00%
纽约时代广场,deepseek,context,Direct,17,70.83%,2026-03-22T00:36:57.852724,0,50.00%,75.00%,50.00%,100.00%,100.00%
维也纳美泉宫,deepseek,context,Direct,14,58.33%,2026-03-22T00:40:41.679926,1,37.50%,100.00%,50.00%,50.00%,75.00%
罗马斗兽场,deepseek,context,Direct,15,62.50%,2026-03-22T00:45:04.592457,0,50.00%,75.00%,75.00%,50.00%,75.00%
芝加哥千禧公园,deepseek,context,Direct,9,37.50%,2026-03-22T00:49:58.637944,0,12.50%,50.00%,75.00%,0.00%,75.00%
长沙五一广场,deepseek,context,Direct,14,58.33%,2026-03-22T00:52:46.889293,0,50.00%,50.00%,75.00%,25.00%,100.00%
